iter	Passed	Remaining
0	0	117
1	1	112
2	2	111
3	3	106
4	4	100
5	4	96
6	5	96
7	6	95
8	7	96
9	8	97
10	9	99
11	10	102
12	11	102
13	12	102
14	13	100
15	14	99
16	15	99
17	16	99
18	17	98
19	17	97
20	18	95
21	19	94
22	20	93
23	21	91
24	21	90
25	22	89
26	23	88
27	24	87
28	25	85
29	25	84
30	26	83
31	27	82
32	28	81
33	29	80
34	29	79
35	30	78
36	31	77
37	32	76
38	33	76
39	34	74
40	34	73
41	35	72
42	36	71
43	36	69
44	37	68
45	37	67
46	38	66
47	39	65
48	39	64
49	40	63
50	41	61
51	41	60
52	42	59
53	42	58
54	43	57
55	44	56
56	44	55
57	45	55
58	46	54
59	47	54
60	48	53
61	49	53
62	51	53
63	52	52
64	53	51
65	54	50
66	54	49
67	55	49
68	56	48
69	57	47
70	57	46
71	58	45
72	59	44
73	60	43
74	61	43
75	61	42
76	62	41
77	63	40
78	64	39
79	64	38
80	65	37
81	66	37
82	66	35
83	66	35
84	67	34
85	68	33
86	69	32
87	69	31
88	70	30
89	71	30
90	71	29
91	72	28
92	73	27
93	74	26
94	75	26
95	76	25
96	76	24
97	77	23
98	78	22
99	78	22
100	79	21
101	79	20
102	80	19
103	81	18
104	81	17
105	82	17
106	82	16
107	83	15
108	84	14
109	84	13
110	85	13
111	86	12
112	86	11
113	87	10
114	88	9
115	88	9
116	89	8
117	90	7
118	91	6
119	91	6
120	92	5
121	93	4
122	93	3
123	94	3
124	95	2
125	95	1
126	96	0
127	97	0
